filename,speaker
TIMIT_SR/ENROLL/DR3/FALK0/SI1086.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SI456.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SI658.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SX186.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SX276.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SX366.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SX6.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FALK0/SX96.WAV,FALK0
TIMIT_SR/ENROLL/DR3/FCKE0/SI1111.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SI1741.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SI481.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SX121.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SX211.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SX301.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SX31.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCKE0/SX391.WAV,FCKE0
TIMIT_SR/ENROLL/DR3/FCMG0/SI1142.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SI1242.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SI1872.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SX162.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SX252.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SX342.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SX432.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMG0/SX72.WAV,FCMG0
TIMIT_SR/ENROLL/DR3/FCMH0/SI1454.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SI2084.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SI824.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SX104.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SX14.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SX194.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SX284.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FCMH0/SX374.WAV,FCMH0
TIMIT_SR/ENROLL/DR3/FDFB0/SI1318.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SI1948.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SI2010.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SX148.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SX238.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SX328.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SX418.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDFB0/SX58.WAV,FDFB0
TIMIT_SR/ENROLL/DR3/FDJH0/SI1565.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SI2195.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SI935.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SX125.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SX215.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SX305.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SX35.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FDJH0/SX395.WAV,FDJH0
TIMIT_SR/ENROLL/DR3/FEME0/SI1505.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SI2135.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SI875.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SX155.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SX245.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SX335.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SX425.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FEME0/SX65.WAV,FEME0
TIMIT_SR/ENROLL/DR3/FGCS0/SI1486.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SI2116.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SI856.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SX136.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SX226.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SX316.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SX406.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGCS0/SX46.WAV,FGCS0
TIMIT_SR/ENROLL/DR3/FGRW0/SI1152.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SI1782.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SI1990.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SX162.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SX252.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SX342.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SX432.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FGRW0/SX72.WAV,FGRW0
TIMIT_SR/ENROLL/DR3/FJLG0/SI1506.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SI1889.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SI2306.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SX179.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SX269.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SX359.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SX449.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLG0/SX89.WAV,FJLG0
TIMIT_SR/ENROLL/DR3/FJLR0/SI1231.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SI1861.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SI601.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SX151.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SX241.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SX331.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SX421.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FJLR0/SX61.WAV,FJLR0
TIMIT_SR/ENROLL/DR3/FKMS0/SI1490.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SI2120.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SI860.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SX140.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SX230.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SX320.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SX410.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FKMS0/SX50.WAV,FKMS0
TIMIT_SR/ENROLL/DR3/FLAC0/SI1339.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SI2161.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SI901.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SX181.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SX271.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SX361.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SX451.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLAC0/SX91.WAV,FLAC0
TIMIT_SR/ENROLL/DR3/FLJD0/SI1516.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SI2146.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SI886.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SX166.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SX256.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SX346.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SX436.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLJD0/SX76.WAV,FLJD0
TIMIT_SR/ENROLL/DR3/FLTM0/SI1070.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SI1700.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SI2330.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SX170.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SX260.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SX350.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SX440.WAV,FLTM0
TIMIT_SR/ENROLL/DR3/FLTM0/SX80.WAV,FLTM0
